Common Name,Scientific Name,Status
Desert tortoise,Gopherus agassizii,Similarity of Appearance (Threatened)
Desert yellowhead,Yermo xanthocephalus,Threatened
Devils Hole pupfish,Cyprinodon diabolis,Endangered
Devils River minnow,Dionda diaboli,Threatened
Dhole,Cuon alpinus,Endangered
diamond Darter,Crystallaria cincotta,Endangered
Diamond Head schiedea,Schiedea adamantis,Endangered
Diamond Tryonia,Pseudotryonia adamantina,Endangered
Diana monkey,Cercopithecus diana,Endangered
Dibbler,Antechinus apicalis,Endangered
Diminutive Amphipod,Gammarus hyalleloides,Endangered
Djibouti francolin,Francolinus ochropectus,Endangered
Douc langur,Pygathrix nemaeus,Endangered
Drill,Mandrillus (=Papio) leucophaeus,Endangered
Dromedary pearlymussel,Dromus dromas,Endangered
Dudley Bluffs bladderpod,Lesquerella congesta,Threatened
Dudley Bluffs twinpod,Physaria obcordata,Threatened
Dugong,Dugong dugon,Endangered
dusky gopher frog,Rana sevosa,Endangered
Dusky sea snake,Aipysurus fuscus,Endangered
Duskytail darter,Etheostoma percnurum,Endangered
Dwarf Bear-poppy,Arctomecon humilis,Endangered
Dwarf-flowered heartleaf,Hexastylis naniflora,Threatened
Dwarf hutia,Capromys nana,Endangered
Dwarf iliau,Wilkesia hobdyi,Endangered
Dwarf lake iris,Iris lacustris,Threatened
Dwarf naupaka,Scaevola coriacea,Endangered
Dwarf sawfish,Pristis clavata,Endangered
Dwarf wedgemussel,Alasmidonta heterodon,Endangered
Eastern indigo snake,Drymarchon corais couperi,Threatened
Eastern jerboa marsupial,Antechinomys laniger,Endangered
Eastern Massasauga (=rattlesnake),Sistrurus catenatus,Threatened
Eastern native-cat,Dasyurus viverrinus,Endangered
Eastern prairie fringed orchid,Platanthera leucophaea,Threatened
Easy yellow-faced bee,Hylaeus facilis,Endangered
Edward's pheasant,Lophura edwardsi,Endangered
Eiao Marquesas reed-Warbler,Acrocephalus percernis aquilonis,Endangered
El Dorado bedstraw,Galium californicum ssp. sierrae,Endangered
Eld's brow-antlered Deer,Cervus eldi,Endangered
Elfin tree fern,Cyathea dryopteroides,Endangered
Elfin-woods warbler,Setophaga angelae,Threatened
Elkhorn coral,Acropora palmata,Threatened
Elliot's pheasant,Syrmaticus ellioti,Endangered
El Segundo blue butterfly,Euphilotes battoides allyni,Endangered
`Ena`ena,Pseudognaphalium sandwicensium var. molokaiense,Endangered
Encinitas baccharis,Baccharis vanessae,Threatened
erect-crested penguin,Eudyptes sclateri,Threatened
Erubia,Solanum drymophilum,Endangered
Eskimo curlew,Numenius borealis,Endangered
Esmeraldas woodstar,Chaetocercus berlepschi,Endangered
Etonia rosemary,Conradina etonia,Endangered
Etowah darter,Etheostoma etowahae,Endangered
Eulachon,Thaleichthys pacificus,Threatened
Euler's flycatcher,Empidonax euleri johnstonei,Endangered
Eurasian peregrine falcon,Falco peregrinus peregrinus,Endangered
Eureka Dune grass,Swallenia alexandrae,Threatened
European sturgeon,Acipenser sturio,Endangered
Everglades bully,Sideroxylon reclinatum ssp. austrofloridense,Threatened
Everglade snail kite,Rostrhamus sociabilis plumbeus,Endangered
Ewa Plains `akoko,Euphorbia skottsbergii var. skottsbergii,Endangered
Exuma Island iguana,Cyclura cychlura figginsi,Threatened
Eyrean grasswren (flycatcher),Amytornis goyderi,Endangered
Fadang,Cycas micronesica,Threatened
false killer whale,Pseudorca crassidens,Endangered
False water rat,Xeromys myoides,Endangered
Fassett's locoweed,Oxytropis campestris var. chartacea,Threatened
Fat pocketbook,Potamilus capax,Endangered
Fat threeridge (mussel),Amblema neislerii,Endangered
Fea's muntjac,Muntiacus feae,Endangered
Fender's blue butterfly,Icaricia icarioides fenderi,Endangered
Few-flowered navarretia,Navarretia leucocephala ssp. pauciflora (=N. pauciflora),Endangered
Fickeisen plains cactus,Pediocactus peeblesianus fickeiseniae,Endangered
Field's mouse,Pseudomys fieldi,Endangered
Fiji banded iguana,Brachylophus fasciatus,Endangered
Fiji crested iguana,Brachylophus vitiensis,Endangered
Fiji petrel,Pseudobulweria macgillivrayi,Endangered
Finback whale,Balaenoptera physalus,Endangered
Finelined pocketbook,Lampsilis altilis,Threatened
Finerayed pigtoe,Fusconaia cuneolus,Endangered
Flat-headed cat,Prionailurus (=Felis) planiceps,Endangered
Flat pebblesnail,Lepyrium showalteri,Endangered
Flat pigtoe,Pleurobema marshalli,Endangered
Flat-spired three-toothed Snail,Triodopsis platysayoides,Threatened
Flattened musk turtle,Sternotherus depressus,Threatened
Fleshy-fruit gladecress,Leavenworthia crassa,Endangered
Fleshy owl's-clover,Castilleja campestris ssp. succulenta,Threatened
Floreana tree-Finch,Camarhynchus pauper,Endangered
Florida bonamia,Bonamia grandiflora,Threatened
Florida bonneted bat,Eumops floridanus,Endangered
Florida brickell-bush,Brickellia mosieri,Endangered
Florida bristle fern,Trichomanes punctatum ssp. floridanum,Endangered
Florida golden aster,Chrysopsis floridana,Endangered
Florida grasshopper sparrow,Ammodramus savannarum floridanus,Endangered
Florida leafwing Butterfly,Anaea troglodyta floridalis,Endangered
Florida panther,Puma (=Felis) concolor coryi,Endangered
Florida perforate cladonia,Cladonia perforata,Endangered
Florida pineland crabgrass,Digitaria pauciflora,Threatened
Florida prairie-clover,Dalea carthagenensis floridana,Endangered
Florida salt marsh vole,Microtus pennsylvanicus dukecampbelli,Endangered
Florida scrub-jay,Aphelocoma coerulescens,Threatened
Florida semaphore Cactus,Consolea corallicola,Endangered
Florida skullcap,Scutellaria floridana,Threatened
Florida torreya,Torreya taxifolia,Endangered
Florida ziziphus,Ziziphus celata,Endangered
Fluted kidneyshell,Ptychobranchus subtentum,Endangered
Flying earwig Hawaiian damselfly,Megalagrion nesiotes,Endangered
Forbes' parakeet,Cyanoramphus auriceps forbesi,Endangered
Formosan rock macaque,Macaca cyclopis,Threatened
Formosan sika deer,Cervus nippon taiouanus,Endangered
Formosan yellow-throated marten,Martes flavigula chrysospila,Endangered
Fosberg's love grass,Eragrostis fosbergii,Endangered
Fountain darter,Etheostoma fonticola,Endangered
Fountain thistle,Cirsium fontinale var. fontinale,Endangered
Four-petal pawpaw,Asimina tetramera,Endangered
Fragile tree snail,Samoana fragilis,Endangered
Fragrant prickly-apple,Cereus eriophorus var. fragrans,Endangered
Franciscan manzanita,Arctostaphylos franciscana,Endangered
Francois' langur,Trachypithecus (=Presbytis) francoisi,Endangered
Freira,Pterodroma madeira,Endangered
Fresno kangaroo rat,Dipodomys nitratoides exilis,Endangered
Friendly Ground-Dove,Gallicolumba stairi,Endangered
Fringe-backed fire-eye,Pyriglena atra,Endangered
Fringed campion,Silene polypetala,Endangered
Fringed Ornamental Tarantula,Poecilotheria ornata,Endangered
Frosted Flatwoods salamander,Ambystoma cingulatum,Threatened
Furbish lousewort,Pedicularis furbishiae,Endangered
Fuzzy pigtoe,Pleurobema strodeanum,Threatened
Gaimard's rat-kangaroo,Bettongia gaimardi,Endangered
Galapagos hawk,Buteo galapagoensis,Endangered
Galapagos penguin,Spheniscus mendiculus,Endangered
Galapagos petrel,Pterodroma phaeopygia,Threatened
Galapagos tortoise,Geochelone nigra (=elephantopus),Endangered
Gambel's watercress,Rorippa gambellii,Endangered
Garber's spurge,Chamaesyce garberi,Threatened
Garrett's mint,Dicerandra christmanii,Endangered
Gavial,Gavialis gangeticus,Endangered
Gaviota Tarplant,Deinandra increscens ssp. villosa,Endangered
Gelada baboon,Theropithecus gelada,Threatened
Gentian pinkroot,Spigelia gentianoides,Endangered
Gentner's Fritillary,Fritillaria gentneri,Endangered
Geometric turtle,Psammobates geometricus,Endangered
Georgetown Salamander,Eurycea naufragia,Threatened
Georgia pigtoe,Pleurobema hanleyianum,Endangered
Georgia rockcress,Arabis georgiana,Threatened
Giant armadillo,Priodontes maximus,Endangered
Giant garter snake,Thamnophis gigas,Threatened
Giant ibis,Pseudibis gigantea,Endangered
Giant kangaroo rat,Dipodomys ingens,Endangered
Giant otter,Pteronura brasiliensis,Endangered
Giant panda,Ailuropoda melanoleuca,Endangered
Giant sable antelope,Hippotragus niger variani,Endangered
Giant scops owl,Mimizuku (=Otus) gurneyi,Endangered
Gibbons,Hylobates spp. (including Nomascus),Endangered
Gierisch mallow,Sphaeralcea gierischii,Endangered
Gila chub,Gila intermedia,Endangered
Gila topminnow (incl. Yaqui),Poeciliopsis occidentalis,Endangered
Gila trout,Oncorhynchus gilae,Threatened
Glaucous macaw,Anodorhynchus glaucus,Endangered
Godfrey's butterwort,Pinguicula ionantha,Threatened
Goeldi's marmoset,Callimico goeldii,Endangered
Golden-cheeked warbler (=wood),Dendroica chrysoparia,Endangered
Golden conure,Aratinga guarouba,Endangered
Golden coqui,Eleutherodactylus jasperi,Threatened
Golden langur,Trachypithecus (=Presbytis) geei,Endangered
golden paintbrush,Castilleja levisecta,Threatened
Golden-rumped tamarin,Leontopithecus spp.,Endangered
Golden sedge,Carex lutea,Endangered
Golden-shouldered parakeet,Psephotus chrysopterygius,Endangered
Goldline darter,Percina aurolineata,Threatened
Goliath Frog,Conraua goliath,Threatened
Gonzales tryonia,Tryonia circumstriata (=stocktonensis),Endangered
Gopher tortoise,Gopherus polyphemus,Threatened
Goral,Naemorhedus goral,Endangered
Gorgeted wood-quail,Odontophorus strophium,Endangered
Gorilla,Gorilla gorilla,Endangered
Gould's mouse,Pseudomys gouldii,Endangered
Government Canyon Bat Cave Meshweaver,Cicurina vespera,Endangered
Government Canyon Bat Cave Spider,Neoleptoneta microps,Endangered
Gowen cypress,Cupressus goveniana ssp. goveniana,Threatened
Grand Cayman ground iguana,Cyclura lewisi,Endangered
Gray bat,Myotis grisescens,Endangered
Gray (=entellus) langur,Semnopithecus (=Presbytis) entellus,Endangered
Gray whale,Eschrichtius robustus,Endangered
Gray wolf,Canis lupus,Endangered
Gray wolf,Canis lupus,Threatened
Greater adjutant,Leptoptilos dubius,Endangered
Great green macaw,Ara ambiguus,Endangered
Great Indian bustard,Ardeotis (=Choriotis) nigriceps,Endangered
Great Indian rhinoceros,Rhinoceros unicornis,Endangered
Greenback Cutthroat trout,Oncorhynchus clarkii stomias,Threatened
Green blossom (pearlymussel),Epioblasma torulosa gubernaculum,Endangered
Greene's tuctoria,Tuctoria greenei,Endangered
Greenland white-tailed eagle,Haliaeetus albicilla groenlandicus,Endangered
Green pitcher-plant,Sarracenia oreophila,Endangered
Green sawfish,Pristis zijsron,Endangered
Green sea turtle,Chelonia mydas,Threatened
Green sea turtle,Chelonia mydas,Endangered
Green sea turtle,Chelonia mydas,Threatened
Green sea turtle,Chelonia mydas,Threatened
Green sea turtle,Chelonia mydas,Threatened
Green sea turtle,Chelonia mydas,Endangered
Green sea turtle,Chelonia mydas,Threatened
Green sea turtle,Chelonia mydas,Endangered
Green sea turtle,Chelonia mydas,Threatened
Green sea turtle,Chelonia mydas,Threatened
Green sea turtle,Chelonia mydas,Threatened
green sturgeon,Acipenser medirostris,Threatened
Grenada gray-fronted dove,Leptotila rufaxilla wellsi,Endangered
Grenada hook-billed kite,Chondrohierax uncinatus mirus,Endangered
Grevy's zebra,Equus grevyi,Threatened
Grey-necked rockfowl,Picathartes oreas,Endangered
Grizzly bear,Ursus arctos horribilis,Threatened
Grotto Sculpin,Cottus specus,Endangered
Ground parrot,Pezoporus wallicus,Endangered
Guadalupe fescue,Festuca ligulata,Endangered
Guadalupe fur seal,Arctocephalus townsendi,Threatened
Guadeloupe house wren,Troglodytes aedon guadeloupensis,Endangered
Guajon,Eleutherodactylus cooki,Threatened
Guam Micronesian kingfisher,Halcyon cinnamomina cinnamomina,Endangered
Guam rail,Rallus owstoni,Endangered
Guam tree snail,Partula radiolata,Endangered
Guatemalan Fir (=pinabete),Abies guatemalensis,Threatened
Guatemalan jaguarundi,Herpailurus (=Felis) yagouaroundi fossata,Endangered
Guizhou snub-nosed monkey,Rhinopithecus brelichi,Endangered
Gulf Coast jaguarundi,Herpailurus (=Felis) yagouaroundi cacomitli,Endangered
Gulf moccasinshell,Medionidus penicillatus,Endangered
Gunnison sage-grouse,Centrocercus minimus,Threatened
Gurney's pitta,Pitta gurneyi,Endangered
Guthrie's (=Pyne's) ground-plum,Astragalus bibullatus,Endangered
Guyandotte River crayfish,Cambarus veteranus,Endangered
Gypsum wild-buckwheat,Eriogonum gypsophilum,Threatened
haha,Cyanea crispa,Endangered
haha,Cyanea dunbariae,Endangered
haha,Cyanea duvalliorum,Endangered
haha,Cyanea gibsonii,Endangered
haha,Cyanea magnicalyx,Endangered
haha,Cyanea maritae,Endangered
haha,Cyanea mauiensis,Endangered
haha,Cyanea munroi,Endangered
Haha,Cyanea acuminata,Endangered
Haha,Cyanea asarifolia,Endangered
Haha,Cyanea asplenifolia,Endangered
Haha,Cyanea calycina,Endangered
Haha,Cyanea copelandii ssp. copelandii,Endangered
Haha,Cyanea copelandii ssp. haleakalaensis,Endangered
Haha,Cyanea dolichopoda,Endangered
Haha,Cyanea eleeleensis,Endangered
Haha,Cyanea glabra,Endangered
Haha,Cyanea grimesiana ssp. grimesiana,Endangered
Haha,Cyanea grimesiana ssp. obatae,Endangered
Haha,Cyanea hamatiflora ssp. carlsonii,Endangered
Haha,Cyanea hamatiflora ssp. hamatiflora,Endangered
Haha,Cyanea humboldtiana,Endangered
Haha,Cyanea kolekoleensis,Endangered
Haha,Cyanea koolauensis,Endangered
Haha,Cyanea kuhihewa,Endangered
Haha,Cyanea kunthiana,Endangered
Haha,Cyanea lanceolata,Endangered
Haha,Cyanea lobata,Endangered
Haha,Cyanea longiflora,Endangered
Haha,Cyanea mannii,Endangered
Haha,Cyanea marksii,Endangered
Haha,Cyanea mceldowneyi,Endangered
Haha,Cyanea obtusa,Endangered
Haha,Cyanea pinnatifida,Endangered
Haha,Cyanea procera,Endangered
Haha,Cyanea profuga,Endangered
Haha,Cyanea purpurellifolia,Endangered
Haha,Cyanea recta,Threatened
Haha,Cyanea remyi,Endangered
Haha,Cyanea rivularis,Endangered
Haha,Cyanea shipmanii,Endangered
Haha,Cyanea stictophylla,Endangered
Haha,Cyanea st.-johnii,Endangered
Haha,Cyanea superba,Endangered
Haha,Cyanea truncata,Endangered
Haha,Cyanea undulata,Endangered
haha nui,Cyanea horrida,Endangered
Hairy Orcutt grass,Orcuttia pilosa,Endangered
Hairy rattleweed,Baptisia arachnifera,Endangered
Haitian solenodon,Solenodon paradoxus,Endangered
haiwale,Cyrtandra ferripilosa,Endangered
haiwale,Cyrtandra nanawaleensis,Endangered
haiwale,Cyrtandra wagneri,Endangered
Haiwale,Cyrtandra gracilis,Endangered
Haiwale,Cyrtandra paliku,Endangered
Haiwale,Cyrtandra waiolani,Endangered
Ha`iwale,Cyrtandra crenata,Endangered
Ha`iwale,Cyrtandra dentata,Endangered
Ha`iwale,Cyrtandra filipes,Endangered
Ha`iwale,Cyrtandra giffardii,Endangered
Ha`iwale,Cyrtandra hematos,Endangered
Ha`iwale,Cyrtandra kaulantha,Endangered
Ha`iwale,Cyrtandra limahuliensis,Threatened
Ha`iwale,Cyrtandra munroi,Endangered
Ha`iwale,Cyrtandra oenobarba,Endangered
Ha`iwale,Cyrtandra oxybapha,Endangered
Ha`iwale,Cyrtandra polyantha,Endangered
Ha`iwale,Cyrtandra sessilis,Endangered
Ha`iwale,Cyrtandra subumbellata,Endangered
Ha`iwale,Cyrtandra tintinnabula,Endangered
Ha`iwale,Cyrtandra viridiflora,Endangered
Hala pepe,Pleomele fernaldii,Endangered
Hala pepe,Pleomele forbesii,Endangered
Hala pepe,Pleomele hawaiiensis,Endangered
Harperella,Ptilimnium nodosum,Endangered
Harper's beauty,Harperocallis flava,Endangered
Harpy eagle,Harpia harpyja,Endangered
Hartmann's mountain zebra,Equus zebra hartmannae,Threatened
Hartweg's golden sunburst,Pseudobahia bahiifolia,Endangered
Hau kuahiwi,Hibiscadelphus giffardianus,Endangered
Hau kuahiwi,Hibiscadelphus hualalaiensis,Endangered
Hau kuahiwi,Hibiscadelphus woodii,Endangered
Hawaii akepa,Loxops coccineus,Endangered
Hawaiian (='alala) Crow,Corvus hawaiiensis,Endangered
Hawaiian bluegrass,Poa sandvicensis,Endangered
Hawaiian common gallinule,Gallinula galeata sandvicensis,Endangered
Hawaiian coot,Fulica americana alai,Endangered
Hawaiian gardenia (=Na`u),Gardenia brighamii,Endangered
Hawaiian goose,Branta (=Nesochen) sandvicensis,Endangered
Hawaiian hoary bat,Lasiurus cinereus semotus,Endangered
Hawaiian (=koloa) Duck,Anas wyvilliana,Endangered
Hawaiian (='lo) Hawk,Buteo solitarius,Endangered
Hawaiian monk seal,Monachus schauinslandi,Endangered
Hawaiian petrel,Pterodroma sandwichensis,Endangered
Hawaiian picture-wing fly,Drosophila aglaia,Endangered
Hawaiian picture-wing fly,Drosophila differens,Endangered
Hawaiian picture-wing fly,Drosophila digressa,Endangered
Hawaiian picture-wing fly,Drosophila hemipeza,Endangered
Hawaiian picture-wing fly,Drosophila heteroneura,Endangered
Hawaiian picture-wing fly,Drosophila montgomeryi,Endangered
Hawaiian picture-wing fly,Drosophila mulli,Threatened
Hawaiian picture-wing fly,Drosophila musaphilia,Endangered
Hawaiian picture-wing fly,Drosophila neoclavisetae,Endangered
Hawaiian picture-wing fly,Drosophila obatai,Endangered
Hawaiian picture-wing fly,Drosophila ochrobasis,Endangered
Hawaiian picture-wing fly,Drosophila sharpi,Endangered
Hawaiian picture-wing fly,Drosophila substenoptera,Endangered
Hawaiian picture-wing fly,Drosophila tarphytrichia,Endangered
Hawaiian stilt,Himantopus mexicanus knudseni,Endangered
Hawaiian vetch,Vicia menziesii,Endangered
Hawaiian yellow-faced bee,Hylaeus kuakea,Endangered
Hawaiian yellow-faced bee,Hylaeus longiceps,Endangered
Hawaiian yellow-faced bee,Hylaeus mana,Endangered
Hawaii creeper,Oreomystis mana,Endangered
Hawksbill sea turtle,Eretmochelys imbricata,Endangered
Hay's Spring amphipod,Stygobromus hayi,Endangered
"Hayun Iagu (=(Guam), Tronkon guafi (Rota))",Serianthes nelsonii,Endangered
Heau,Exocarpos luteolus,Endangered
Heau,Exocarpos menziesii,Endangered
Heavy pigtoe,Pleurobema taitianum,Endangered
Heinroth's shearwater,Puffinus heinrothi,Threatened
Heliotrope milk-vetch,Astragalus montii,Threatened
Hell Creek Cave crayfish,Cambarus zophonastes,Endangered
Heller's blazingstar,Liatris helleri,Threatened
Helmeted honeyeater,Lichenostomus melanops cassidix (=Meliphaga c.),Endangered
Helmeted hornbill,Buceros (=Rhinoplax) vigil,Endangered
Helotes mold beetle,Batrisodes venyivi,Endangered
Hickman's potentilla,Potentilla hickmanii,Endangered
Hierro giant lizard,Gallotia simonyi simonyi,Endangered
Higgins eye (pearlymussel),Lampsilis higginsii,Endangered
Highlands scrub hypericum,Hypericum cumulicola,Endangered
Higo Chumbo,Harrisia portoricensis,Threatened
Higuero de sierra,Crescentia portoricensis,Endangered
Hiko White River springfish,Crenichthys baileyi grandis,Endangered
Hilaris yellow-faced bee,Hylaeus hilaris,Endangered
Hillegrand's reedgrass,Calamagrostis hillebrandii,Endangered
Hilo ischaemum,Ischaemum byrone,Endangered
Hinckley oak,Quercus hinckleyi,Threatened
Hine's emerald dragonfly,Somatochlora hineana,Endangered
Hispid hare,Caprolagus hispidus,Endangered
Hoawa,Pittosporum halophilum,Endangered
Hoawa,Pittosporum hawaiiense,Endangered
Ho`awa,Pittosporum napaliense,Endangered
Hoffmann's rock-cress,Arabis hoffmannii,Endangered
Hoffmann's slender-flowered gilia,Gilia tenuiflora ssp. hoffmannii,Endangered
Hohiu,Dryopteris glabra var. pusilla,Endangered
Holei,Ochrosia haleakalae,Endangered
Holei,Ochrosia kilaueaensis,Endangered
Holmgren milk-vetch,Astragalus holmgreniorum,Endangered
Holy Ghost ipomopsis,Ipomopsis sancti-spiritus,Endangered
Homerus swallowtail butterfly,Papilio homerus,Endangered
Honduran emerald hummingbird,Amazilia luciae,Endangered
Honohono,Haplostachys haplostachya,Endangered
Hooded Crane,Grus monacha,Endangered
Hook-billed hermit (hummingbird),Ramphodon (=Glaucis) dohrnii,Endangered
Hoover's spurge,Chamaesyce hooveri,Threatened
Horned guan,Oreophasis derbianus,Endangered
Houghton's goldenrod,Solidago houghtonii,Threatened
Houston toad,Bufo houstonensis,Endangered
Howell''s spectacular thelypody,Thelypodium howellii ssp. spectabilis,Threatened
Howell's spineflower,Chorizanthe howellii,Endangered
Huachuca water-umbel,Lilaeopsis schaffneriana var. recurva,Endangered
Hulumoa,Korthalsella degeneri,Endangered
Humboldt penguin,Spheniscus humboldti,Threatened
Humpback chub,Gila cypha,Endangered
Humpback whale,Megaptera novaeangliae,Endangered
Humpback whale,Megaptera novaeangliae,Threatened
Humpback whale,Megaptera novaeangliae,Endangered
Humpback whale,Megaptera novaeangliae,Endangered
Humpback whale,Megaptera novaeangliae,Endangered
Humped tree snail,Partula gibba,Endangered
Hungerford's crawling water Beetle,Brychius hungerfordi,Endangered
Hutton tui chub,Gila bicolor ssp.,Threatened
Hyacinth macaw,Anodorhynchus hyacinthinus,Threatened
Ibadan malimbe,Malimbus ibadanensis,Endangered
Ibiza wall lizard,Podarcis pityusensis,Threatened
Ihi,Portulaca villosa,Endangered
Ihi`ihi,Marsilea villosa,Endangered
`I`iwi,Drepanis coccinea,Threatened
Ikan temoleh (minnow),Probarbus jullieni,Endangered
Illinois cave amphipod,Gammarus acherondytes,Endangered
Imperial parrot,Amazona imperialis,Endangered
Imperial pheasant,Lophura imperialis,Endangered
Imperial woodpecker,Campephilus imperialis,Endangered
Inagua Island turtle,Trachemys stejnegeri malonei,Endangered
Independence Valley speckled dace,Rhinichthys osculus lethoporus,Endangered
Indiana bat,Myotis sodalis,Endangered
Indian (=Bengal) monitor,Varanus bengalensis,Endangered
Indian Knob mountainbalm,Eriodictyon altissimum,Endangered
Indian python,Python molurus molurus,Endangered
Indian sawback turtle,Kachuga tecta tecta,Endangered
Indian softshell turtle,Trionyx gangeticus,Endangered
Indigo macaw,Anodorhynchus leari,Endangered
Indochina hog deer,Axis porcinus annamiticus,Endangered
Indri lemur,Indri indri,Endangered
Inflated heelsplitter,Potamilus inflatus,Threatened
Interrupted (=Georgia) Rocksnail,Leptoxis foremani,Endangered
Inyo California towhee,Pipilo crissalis eremophilus,Threatened
Ione (incl. Irish Hill) buckwheat,Eriogonum apricum (incl. var. prostratum),Endangered
Ione manzanita,Arctostaphylos myrtifolia,Threatened
Iowa Pleistocene snail,Discus macclintocki,Endangered
Iriomote cat,Prionailurus (=Felis) bengalensis iriomotensis,Endangered
Island Barberry,Berberis pinnata ssp. insularis,Endangered
Island bedstraw,Galium buxifolium,Endangered
Island malacothrix,Malacothrix squalida,Endangered
Island phacelia,Phacelia insularis ssp. insularis,Endangered
Island rush-rose,Helianthemum greenei,Threatened
Israel painted frog,Discoglossus nigriventer,Endangered
Ivory-billed woodpecker,Campephilus principalis,Endangered
Ivory Ornamental Tarantula,Poecilotheria subfusca,Endangered
Jaguar,Panthera onca,Endangered
Jamaican boa,Epicrates subflavus,Endangered
Jamaican iguana,Cyclura collei,Endangered
James spinymussel,Pleurobema collina,Endangered
Japanese Crane,Grus japonensis,Endangered
Japanese crested ibis,Nipponia nippon,Endangered
Japanese giant salamander,Andrias japonicus (=davidianus j.),Endangered
Japanese macaque,Macaca fuscata,Threatened
Javan rhinoceros,Rhinoceros sondaicus,Endangered
Jemez Mountains salamander,Plethodon neomexicanus,Endangered
Jentink's duiker,Cephalophus jentinki,Endangered
Jerdon's courser,Rhinoptilus bitorquatus,Endangered
Jesup's milk-vetch,Astragalus robbinsii var. jesupi,Endangered
Johnson's seagrass,Halophila johnsonii,Threatened
Jollyville Plateau Salamander,Eurycea tonkawae,Threatened
Jones Cycladenia,Cycladenia humilis var. jonesii,Threatened
June sucker,Chasmistes liorus,Endangered
Junin grebe,Podiceps taczanowskii,Endangered
Junin rail,Laterallus tuerosi,Endangered
Kaempfer's tody-tyrant,Hemitriccus kaempferi,Endangered
Kagu,Rhynochetos jubatus,Endangered
Kakapo,Strigops habroptilus,Endangered
Kaluga sturgeon,Huso dauricus,Endangered
Kamakahala,Labordia cyrtandrae,Endangered
Kamakahala,Labordia helleri,Endangered
Kamakahala,Labordia lydgatei,Endangered
Kamakahala,Labordia pumila,Endangered
Kamakahala,Labordia tinifolia var. lanaiensis,Endangered
Kamakahala,Labordia tinifolia var. wahiawaensis,Endangered
Kamakahala,Labordia triflora,Endangered
Kamanomano,Cenchrus agrimonioides,Endangered
Kamapua`a,Kadua fluviatilis,Endangered
Kanab ambersnail,Oxyloma haydeni kanabensis,Endangered
Kandy Parachute Spider,Poecilotheria smithi,Endangered
Karner blue butterfly,Lycaeides melissa samuelis,Endangered
Kashmir stag,Cervus elaphus hanglu,Endangered
Kauai akialoa (honeycreeper),Akialoa stejnegeri,Endangered
Kauai cave amphipod,Spelaeorchestia koloana,Endangered
Kauai cave wolf or pe'e pe'e maka 'ole spider,Adelocosa anops,Endangered
Kauai hau kuahiwi,Hibiscadelphus distans,Endangered
Kauai nukupuu,Hemignathus hanapepe,Endangered
Kauai `o`o (honeyeater),Moho braccatus,Endangered
Kauila,Colubrina oppositifolia,Endangered
Kaulu,Pteralyxia kauaiensis,Endangered
Kaulu,Pteralyxia macrocarpa,Endangered
Kearney's blue-star,Amsonia kearneyana,Endangered
Keck's Checker-mallow,Sidalcea keckii,Endangered
Kemp's ridley sea turtle,Lepidochelys kempii,Endangered
Kendall Warm Springs dace,Rhinichthys osculus thermalis,Endangered
Kentucky arrow darter,Etheostoma spilotum,Threatened
Kentucky cave shrimp,Palaemonias ganteri,Endangered
Kentucky glade cress,Leavenworthia exigua laciniata,Threatened
Kenwood Marsh checker-mallow,Sidalcea oregana ssp. valida,Endangered
Kern mallow,Eremalche kernensis,Endangered
Kern primrose sphinx moth,Euproserpinus euterpe,Threatened
Key deer,Odocoileus virginianus clavium,Endangered
Key Largo cotton mouse,Peromyscus gossypinus allapaticola,Endangered
Key Largo woodrat,Neotoma floridana smalli,Endangered
Key tree cactus,Pilosocereus robinii,Endangered
Killer whale,Orcinus orca,Endangered
Kincaid's Lupine,Lupinus sulphureus ssp. kincaidii,Threatened
Kio`ele,Kadua coriacea,Endangered
Kiponapona,Phyllostegia racemosa,Endangered
Kirtland's Warbler,Setophaga kirtlandii (= Dendroica kirtlandii),Endangered
Kneeland Prairie penny-cress,Thlaspi californicum,Endangered
Knieskern's Beaked-rush,Rhynchospora knieskernii,Threatened
Knowlton's cactus,Pediocactus knowltonii,Endangered
Koala,Phascolarctos cinereus,Threatened
Koch's pitta,Pitta kochi,Endangered
Kodachrome bladderpod,Lesquerella tumulosa,Endangered
Kohe malama malama o kanaloa,Kanaloa kahoolawensis,Endangered
Koholapehu,Dubautia latifolia,Endangered
Kokako (wattlebird),Callaeas cinerea,Endangered
Koki`o,Kokia drynarioides,Endangered
Koki`o,Kokia kauaiensis,Endangered
Koki`o ke`oke`o,Hibiscus arnottianus ssp. immaculatus,Endangered
Koki`o ke`oke`o,Hibiscus waimeae ssp. hannerae,Endangered
Kolea,Myrsine fosbergii,Endangered
Kolea,Myrsine juddii,Endangered
Kolea,Myrsine knudsenii,Endangered
Kolea,Myrsine linearifolia,Threatened
Kolea,Myrsine mezii,Endangered
Kolea,Myrsine vaccinioides,Endangered
Komodo Island monitor,Varanus komodoensis,Endangered
kookoolau,Bidens hillebrandiana ssp. hillebrandiana,Endangered
Ko`oko`olau,Bidens amplectens,Endangered
Ko`oko`olau,Bidens campylotheca ssp. pentamera,Endangered
Ko`oko`olau,Bidens campylotheca ssp. waihoiensis,Endangered
Ko`oko`olau,Bidens conjuncta,Endangered
Ko`oko`olau,Bidens micrantha ssp. ctenophylla,Endangered
Ko`oko`olau,Bidens micrantha ssp. kalealaha,Endangered
