Common Name,Scientific Name,Status
Arkansas fatmucket,Lampsilis powellii,Threatened
Arkansas River shiner,Notropis girardi,Threatened
Armored snail,Pyrgulopsis (=Marstonia) pachyta,Endangered
Arroyo (=arroyo southwestern) toad,Anaxyrus californicus,Endangered
Aruba Island rattlesnake,Crotalus unicolor,Threatened
Ash-breasted tit-tyrant,Anairetes alpinus,Endangered
Ash-grey paintbrush,Castilleja cinerea,Threatened
Ash Meadows Amargosa pupfish,Cyprinodon nevadensis mionectes,Endangered
Ash Meadows blazingstar,Mentzelia leucophylla,Threatened
Ash Meadows gumplant,Grindelia fraxinipratensis,Threatened
Ash Meadows ivesia,Ivesia kingii var. eremica,Threatened
Ash meadows milk-vetch,Astragalus phoenix,Threatened
Ash Meadows naucorid,Ambrysus amargosus,Threatened
Ash Meadows speckled dace,Rhinichthys osculus nevadensis,Endangered
Ash Meadows sunray,Enceliopsis nudicaulis var. corrugata,Threatened
Ashy dogweed,Thymophylla tephroleuca,Endangered
Asian bonytongue,Scleropages formosus,Endangered
Asian elephant,Elephas maximus,Endangered
Asian golden (=Temmnick's) cat,Catopuma (=Felis) temminckii,Endangered
Asian tapir,Tapirus indicus,Endangered
Asian wild ass,Equus hemionus,Endangered
Asplenium-leaved diellia,Asplenium dielerectum,Endangered
Assimulans yellow-faced bee,Hylaeus assimulans,Endangered
Atitlan grebe,Podilymbus gigas,Endangered
Atlantic salmon,Salmo salar,Endangered
Atlantic salt marsh snake,Nerodia clarkii taeniata,Threatened
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Threatened
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered
Atlantic sturgeon (Gulf subspecies),Acipenser oxyrinchus (=oxyrhynchus) desotoi,Threatened
Attwater's greater prairie-chicken,Tympanuchus cupido attwateri,Endangered
Audouin's gull,Larus audouinii,Endangered
